date,bitcoin,rsi_btc,mean_rsi_btc,sd_rsi_btc,gold,rsi_gold,mean_rsi_gold,sd_rsi_gold,score_btc,score_gold
9/11/2016,621.65,NA,NA,NA,NA,NA,NA,NA,0,0
9/12/2016,609.67,NA,NA,NA,1324.6,NA,NA,NA,0,0
9/13/2016,610.92,NA,NA,NA,1323.65,NA,NA,NA,0,0
9/14/2016,608.82,NA,NA,NA,1321.75,NA,NA,NA,0,0
9/15/2016,610.38,NA,NA,NA,1310.8,NA,NA,NA,0,0
9/16/2016,609.11,NA,NA,NA,1308.35,NA,NA,NA,0,0
9/17/2016,607.04,NA,NA,NA,NA,NA,NA,NA,0,0
9/18/2016,611.58,NA,NA,NA,NA,NA,NA,NA,0,0
9/19/2016,610.19,NA,NA,NA,1314.85,NA,NA,NA,0,0
9/20/2016,608.66,NA,NA,NA,1313.8,NA,NA,NA,0,0
9/21/2016,598.88,NA,NA,NA,1326.1,NA,NA,NA,0,0
9/22/2016,597.42,NA,NA,NA,1339.1,NA,NA,NA,0,0
9/23/2016,594.08,NA,NA,NA,1338.65,NA,NA,NA,0,0
9/24/2016,603.88,NA,NA,NA,NA,NA,NA,NA,0,0
9/25/2016,601.74,31.63622948,31.63622948,0,NA,NA,NA,NA,0,0
9/26/2016,598.98,28.5098656,30.07304754,2.210673097,1340.5,NA,NA,NA,-0.707106782,0
9/27/2016,605.96,44.51114811,34.88574773,8.481143034,1327,NA,NA,NA,1.134917822,0
9/28/2016,605.67,44.03861439,37.1739644,8.300417669,1322.5,NA,NA,NA,0.827024647,0
9/29/2016,603.85,40.89482354,37.91813622,7.378459097,1318.1,NA,NA,NA,0.403429399,0
9/30/2016,609.39,52.74345628,40.3890229,8.954608463,1322.5,48.657289,48.657289,0,1.379673207,0
10/1/2016,614.82,61.47716875,43.40161517,11.41712875,NA,NA,48.657289,0,1.583196089,0
10/2/2016,612.98,57.3341561,45.14318278,11.66163557,NA,NA,48.657289,0,1.045391382,0
10/3/2016,611.85,54.72100229,46.20738495,11.36605747,1313.3,38.82043635,43.73886268,6.955705215,0.749038738,-0.707106782
10/4/2016,609.62,49.57587351,46.54423381,10.76883437,1283.3,22.04881946,36.50884827,13.4540047,0.281519763,-1.074775068
10/5/2016,607.18,44.31534682,46.34160772,10.23829307,1269.4,17.91174087,31.85957142,14.39224082,-0.197910031,-0.969121537
10/6/2016,612.08,55.30475564,47.08853671,10.09891819,1254.5,14.53786919,28.39523098,14.67517361,0.813574165,-0.944272426
10/7/2016,617.21,63.90890692,48.38241134,10.73557574,1258.75,19.52663907,26.91713232,13.61606515,1.446265758,-0.542777459
10/8/2016,614.74,57.73431534,49.05040448,10.61291716,NA,NA,26.91713232,13.61606515,0.818239767,0
10/9/2016,615.65,59.40174145,49.74049362,10.57033913,NA,NA,26.91713232,13.61606515,0.913996014,0
10/10/2016,617.54,62.9084671,50.56349196,10.72942147,1259.5,20.47191913,25.99638758,12.6661789,1.1505723,-0.436159042
10/11/2016,614.77,54.89060996,50.81802831,10.44159296,1253.45,18.4542633,25.05362205,12.0259583,0.390034515,-0.548759491
10/12/2016,635.01,78.25585117,52.3423518,12.01822103,1256.5,22.87578401,24.81164004,11.27265326,2.156184289,-0.171730291
10/13/2016,635.96,78.84917478,53.73744775,13.16787321,1261.05,29.45946276,25.27642231,10.72910746,1.90704502,0.389877766
10/14/2016,634.02,74.08584663,54.75486769,13.60036067,1251.75,24.522479,25.20788201,10.1810632,1.421357816,-0.067321359
10/15/2016,637.94,77.28515028,55.82773829,14.13836616,NA,NA,25.20788201,10.1810632,1.517672675,0
10/16/2016,641.42,79.83522497,56.91898769,14.71641327,NA,NA,25.20788201,10.1810632,1.557189028,0
10/17/2016,638.97,73.16301965,57.62524995,14.7716332,1254.8,29.02355081,25.52585441,9.76955628,1.051865389,0.358019986
10/18/2016,636.29,66.18181835,57.98177363,14.55213937,1258.2,34.07996594,26.18386299,9.649830198,0.563494103,0.818263409
10/19/2016,629.25,51.33488116,57.71589793,14.30763697,1269.05,47.77856071,27.7263414,10.92087729,-0.445986768,1.836136308
10/20/2016,627.72,48.60081865,57.36531796,14.13208056,1271.65,50.61606054,29.25232268,12.06962613,-0.620184641,1.770041394
10/21/2016,631.92,56.0200129,57.31549185,13.86006346,1266.05,44.59423328,30.21119209,12.27497612,-0.093468472,1.171736796
10/22/2016,655.48,77.26279819,58.02789564,14.11371782,NA,NA,30.21119209,12.27497612,1.362851574,0
10/23/2016,653.25,73.39130537,58.55766839,14.14998116,NA,NA,30.21119209,12.27497612,1.048314963,0
10/24/2016,651.39,70.01490072,59.88107085,13.3120903,1265.55,44.05427783,31.02549125,12.35031424,0.761250085,1.054935634
10/25/2016,655.31,73.0319378,61.41631472,12.07472196,1269.4,49.48816933,32.05119559,12.74735826,0.961978513,1.367889204
10/26/2016,651.45,65.53943375,62.14142802,11.64709812,1270.5,51.05538532,33.0514161,13.13301241,0.291746982,1.370894099
10/27/2016,682.22,82.27000706,63.4597519,11.68849179,1266.25,44.85158649,33.64142462,13.05222322,1.609297033,0.858869917
10/28/2016,687.68,83.87307871,64.9417607,11.44742219,1273,54.89542068,34.65351967,13.54081123,1.653762541,1.494880969
10/29/2016,685.91,81.12929054,65.92058257,11.57995514,NA,NA,34.65351967,13.49690128,1.313365016,0
10/30/2016,698,84.99737671,66.73162423,12.07088349,NA,NA,33.9533312,13.49690128,1.513207587,0
10/31/2016,702,86.08614853,67.72307224,12.44639002,1272,53.2380014,33.9533312,13.81186011,1.475373683,1.396239902
11/1/2016,697.01,77.94396948,68.52386421,12.32646636,1288.45,70.27347529,34.87164883,15.82077237,0.764217822,2.237680034
11/2/2016,733.33,87.70792476,69.83876253,12.26672575,1303.75,78.6288023,36.36941259,17.93637478,1.456718165,2.356071961
